morder,family,genus,specificEpithet,mainCommonName
Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,Platypus
Monotremata,Tachyglossidae,Tachyglossus,aculeatus,Short-beaked Echidna
Monotremata,Tachyglossidae,Zaglossus,attenboroughi,Attenborough's Long-beaked Echidna
Monotremata,Tachyglossidae,Zaglossus,bartoni,Eastern Long-beaked Echidna
Monotremata,Tachyglossidae,Zaglossus,bruijnii,Western Long-beaked Echidna
Paucituberculata,Caenolestidae,Caenolestes,caniventer,Gray-bellied Shrew-opossum
Paucituberculata,Caenolestidae,Caenolestes,condorensis,Condor Shrew-opossum
Paucituberculata,Caenolestidae,Caenolestes,convelatus,Blackish Shrew-opossum
Paucituberculata,Caenolestidae,Caenolestes,fuliginosus,Dusky Shrew-opossum
Paucituberculata,Caenolestidae,Caenolestes,sangay,Sangay Shrew-opossum
Paucituberculata,Caenolestidae,Lestoros,inca,Incan Shrew-opossum
Paucituberculata,Caenolestidae,Rhyncholestes,raphanurus,Long-nosed Shrew-opossum
Didelphimorphia,Didelphidae,Caluromys,derbianus,Derby's Woolly Opossum
Didelphimorphia,Didelphidae,Caluromys,lanatus,Brown-eared Woolly Opossum
Didelphimorphia,Didelphidae,Caluromys,philander,Bare-tailed Woolly Opossum
Didelphimorphia,Didelphidae,Caluromysiops,irruptus,Black-shouldered Opossum
Didelphimorphia,Didelphidae,Chironectes,minimus,Water Opossum
